sigma	D	ang	X3_gamma	X3_err	X3_p95_lo	X3_p95_hi	Z3_gamma	Z3_err	Z3_p95_lo	Z3_p95_hi	X4_gamma1	X4_err1	X4_gamma2	X4_err2	X4_gamma_eff	X4_p95_lo	X4_p95_hi	Z4_gamma1	Z4_err1	Z4_gamma2	Z4_err2	Z4_gamma_eff	Z4_p95_lo	Z4_p95_hi
0.05	30.0	0	0.0721	0.0034	-4.2256	3.7738	0.0449	0.0032	-4.7789	3.8664	0.0055	0.0004	0.0372	0.0012	0.0212	-0.1357	0.1393	0.0050	0.0005	0.0369	0.0012	0.0208	-0.1393	0.1379
0.05	30.0	20	0.0813	0.0021	-1.5723	2.4268	0.0806	0.0023	-2.0169	1.5905	0.0055	0.0004	0.0377	0.0013	0.0211	-0.1361	0.1332	0.0052	0.0005	0.0360	0.0011	0.0209	-0.1338	0.1346
0.05	30.0	40	0.0799	0.0022	-0.8730	1.1720	0.0857	0.0027	-0.4448	5.2838	0.0054	0.0005	0.0361	0.0012	0.0211	-0.1273	0.1277	0.0054	0.0005	0.0364	0.0012	0.0213	-0.1339	0.1365
0.05	30.0	60	0.2720	0.0995	-83.6551	78.2394	0.0063	0.0003	-353.7953	235.5980	0.0072	0.0014	0.0355	0.0031	0.0219	-0.1086	0.1287	0.0074	0.0007	0.0368	0.0024	0.0201	-0.1919	0.1295
0.085	7.0	0	0.1133	0.0040	-0.3806	0.3595	0.1125	0.0039	-0.3738	0.3758	0.0047	0.0020	0.0313	0.0005	0.0287	-0.1098	0.1092	0.0041	0.0019	0.0312	0.0005	0.0287	-0.1095	0.1105
0.085	7.0	20	0.1120	0.0039	-0.4300	0.4387	0.1137	0.0039	-0.4391	0.4107	0.0032	0.0010	0.0314	0.0004	0.0283	-0.1124	0.1102	0.0041	0.0011	0.0318	0.0005	0.0285	-0.1088	0.1110
0.085	7.0	40	0.1162	0.0040	-0.7586	0.7693	0.1140	0.0039	-0.6906	0.7083	0.0037	0.0011	0.0318	0.0005	0.0283	-0.1147	0.1173	0.0048	0.0021	0.0319	0.0006	0.0296	-0.1169	0.1143
0.085	7.0	60	0.1223	0.0047	-5.7884	3.7332	0.1339	0.0077	-18.0632	5.7185	0.0029	0.0022	0.0320	0.0008	0.0269	-0.1313	0.1319	0.0067	0.0117	0.0322	0.0013	0.0310	-0.1330	0.1402
0.085	13.0	0	0.1145	0.0041	-0.5736	0.5324	0.1151	0.0040	-0.5114	0.5806	0.0112	0.0010	0.0414	0.0012	0.0303	-0.1325	0.1328	0.0130	0.0013	0.0424	0.0017	0.0304	-0.1346	0.1340
0.085	13.0	20	0.1151	0.0037	-0.6142	0.6298	0.1157	0.0039	-0.6513	0.5411	0.0112	0.0010	0.0415	0.0012	0.0302	-0.1339	0.1360	0.0117	0.0009	0.0430	0.0014	0.0299	-0.1322	0.1343
0.085	13.0	40	0.1187	0.0037	-1.0359	1.2349	0.1187	0.0040	-1.1241	0.9557	0.0091	0.0009	0.0401	0.0010	0.0297	-0.1385	0.1395	0.0097	0.0011	0.0402	0.0011	0.0300	-0.1374	0.1416
0.085	13.0	60	0.0004	0.0000	-15.5280	14.2457	0.0011	0.0000	-50.1144	28.3021	0.0083	0.0023	0.0399	0.0025	0.0296	-0.1369	0.1416	0.0118	0.0024	0.0415	0.0028	0.0305	-0.1544	0.1496
0.085	20.0	0	0.1169	0.0041	-0.8896	0.9159	0.1185	0.0044	-0.9058	0.8678	0.0111	0.0007	0.0535	0.0016	0.0317	-0.1524	0.1523	0.0105	0.0008	0.0522	0.0017	0.0317	-0.1525	0.1553
0.085	20.0	20	0.1202	0.0043	-0.9925	0.9584	0.1180	0.0041	-1.0879	0.7667	0.0106	0.0007	0.0526	0.0016	0.0313	-0.1536	0.1517	0.0115	0.0008	0.0545	0.0020	0.0319	-0.1535	0.1528
0.085	20.0	40	0.1224	0.0042	-1.4628	1.2692	0.1195	0.0040	-0.9524	2.1359	0.0120	0.0010	0.0553	0.0026	0.0322	-0.1512	0.1528	0.0124	0.0010	0.0555	0.0026	0.0323	-0.1523	0.1565
0.085	20.0	60	0.1389	0.1777	-34.1954	33.0337	0.3298	0.2336	-149.1788	145.5907	0.0121	0.0023	0.0513	0.0041	0.0336	-0.1568	0.1361	0.0103	0.0016	0.0496	0.0033	0.0307	-0.1635	0.1546
0.085	30.0	0	0.1275	0.0051	-4.2263	3.7982	0.1319	0.0044	-4.7834	3.8177	0.0086	0.0006	0.0591	0.0018	0.0334	-0.1673	0.1701	0.0088	0.0007	0.0606	0.0020	0.0333	-0.1692	0.1688
0.085	30.0	20	0.1220	0.0042	-1.5780	2.4317	0.1218	0.0042	-1.9983	1.5449	0.0079	0.0006	0.0597	0.0018	0.0325	-0.1676	0.1664	0.0078	0.0005	0.0580	0.0016	0.0324	-0.1659	0.1676
0.085	30.0	40	0.1228	0.0043	-0.8872	1.1678	0.1254	0.0044	-0.4726	5.3296	0.0088	0.0007	0.0598	0.0022	0.0336	-0.1616	0.1593	0.0081	0.0006	0.0577	0.0018	0.0331	-0.1642	0.1694
0.085	30.0	60	0.2972	0.0681	-83.6577	78.2602	0.0063	0.0003	-353.7863	235.6020	0.0041	0.0010	0.0531	0.0034	0.0247	-0.1506	0.1591	0.0097	0.0013	0.0625	0.0054	0.0306	-0.2181	0.1602
0.13	7.0	0	0.1716	0.0055	-0.4600	0.4496	0.1703	0.0056	-0.4624	0.4590	0.0051	0.0017	0.0460	0.0007	0.0406	-0.1505	0.1510	0.0026	0.0022	0.0457	0.0005	0.0396	-0.1509	0.1521
0.13	7.0	20	0.1681	0.0055	-0.4937	0.5050	0.1717	0.0057	-0.5056	0.4814	0.0037	0.0023	0.0462	0.0006	0.0410	-0.1534	0.1528	0.0058	0.0020	0.0466	0.0007	0.0415	-0.1505	0.1508
0.13	7.0	40	0.1688	0.0062	-0.7885	0.7912	0.1658	0.0058	-0.7186	0.7405	0.0068	0.0020	0.0472	0.0009	0.0418	-0.1551	0.1579	0.0060	0.0027	0.0468	0.0009	0.0419	-0.1571	0.1566
0.13	7.0	60	0.1812	0.0065	-5.7388	3.7273	0.0005	0.0000	-18.0726	5.6772	0.0059	0.0028	0.0486	0.0014	0.0412	-0.1724	0.1713	0.0000	0.0000	0.0474	0.0007	0.0001	-0.1756	0.1815
0.13	13.0	0	0.1696	0.0061	-0.6197	0.5914	0.1710	0.0061	-0.5767	0.6269	0.0158	0.0015	0.0596	0.0017	0.0444	-0.1782	0.1795	0.0181	0.0017	0.0618	0.0022	0.0441	-0.1811	0.1809
0.13	13.0	20	0.1696	0.0057	-0.6611	0.6616	0.1709	0.0058	-0.6878	0.5807	0.0166	0.0015	0.0607	0.0018	0.0444	-0.1811	0.1803	0.0190	0.0015	0.0632	0.0022	0.0445	-0.1779	0.1800
0.13	13.0	40	0.1703	0.0060	-1.0491	1.2471	0.1729	0.0064	-1.0979	0.9642	0.0170	0.0018	0.0621	0.0024	0.0443	-0.1845	0.1860	0.0161	0.0015	0.0623	0.0021	0.0437	-0.1852	0.1856
