Evento,Detector,X,Y,Z
0,0,137.589,350.811,-199.185
0,1,158.654,420.811,-187.506
0,2,188.76,520.905,-170.799
0,3,209.777,590.811,-159.121
1,0,-99999,-99999,-99999
1,1,245.825,420.917,-57.8495
1,2,188.108,520.578,-85.8021
1,3,147.621,590.497,-105.189
2,0,-197.819,350.833,142.6
2,1,-235.483,420.666,116.299
2,2,-99999,-99999,-99999
2,3,-99999,-99999,-99999
3,0,67.9694,350.797,133.196
3,1,63.2509,420.391,57.3452
3,2,56.5769,520.729,-51.4355
3,3,51.7376,590.593,-126.697
4,0,-99999,-99999,-99999
4,1,-99999,-99999,-99999
4,2,-99999,-99999,-99999
4,3,-99999,-99999,-99999
5,0,-99999,-99999,-99999
5,1,-99999,-99999,-99999
5,2,230.99,520.885,-146.469
5,3,224.575,590.713,-47.3115
6,0,88.4399,350.502,62.4909
6,1,55.9663,420.502,28.4008
6,2,9.40757,520.917,-20.4762
6,3,-22.754,590.336,-54.303
7,0,44.2022,350.723,-11.5928
7,1,55.4026,420.723,15.4099
7,2,71.4305,520.908,54.0958
7,3,82.4732,590.354,80.9744
8,0,-99999,-99999,-99999
8,1,-99999,-99999,-99999
8,2,-99999,-99999,-99999
8,3,-99999,-99999,-99999
9,0,187.112,350.918,-54.2975
9,1,185.123,420.918,-4.89611
9,2,181.973,520.837,65.7204
9,3,179.799,590.673,115.07
10,0,-82.6443,350.94,56.8074
10,1,-1.5846,420.88,102.786
10,2,114.375,520.94,168.529
10,3,195.182,590.7,214.346
11,0,-99999,-99999,-99999
11,1,-99999,-99999,-99999
11,2,-99999,-99999,-99999
11,3,-99999,-99999,-99999
12,0,-99999,-99999,-99999
12,1,-99999,-99999,-99999
12,2,-99999,-99999,-99999
12,3,-99999,-99999,-99999
13,0,-99999,-99999,-99999
13,1,-99999,-99999,-99999
13,2,-99999,-99999,-99999
13,3,-99999,-99999,-99999
14,0,-99999,-99999,-99999
14,1,102.564,420.719,194.37
14,2,117.302,520.93,93.5276
14,3,127.448,590.089,23.894
15,0,-99999,-99999,-99999
15,1,-99999,-99999,-99999
15,2,-99999,-99999,-99999
15,3,-99999,-99999,-99999
