Evento,Detector,X,Y,Z
0,0,115.199,350.678,-210.982
0,1,160.22,420.678,-186.149
0,2,208.597,495.919,-159.418
0,3,249.43,559.423,-136.837
1,0,-99999,-99999,-99999
1,1,-99999,-99999,-99999
1,2,-99999,-99999,-99999
1,3,-99999,-99999,-99999
2,0,-99999,-99999,-99999
2,1,-99999,-99999,-99999
2,2,233.469,495.85,120.421
2,3,182.645,565.925,85.0628
3,0,-15.2266,350.904,66.4901
3,1,3.84333,420.904,63.0908
3,2,24.209,495.711,59.4672
3,3,43.2881,565.807,56.0737
4,0,-99999,-99999,-99999
4,1,-99999,-99999,-99999
4,2,-221.99,495.11,-16.7437
4,3,-193.298,565.643,4.85474
5,0,-99999,-99999,-99999
5,1,-99999,-99999,-99999
5,2,-247.57,495.917,82.3423
5,3,-219.828,565.916,45.3932
6,0,-240.11,350.932,156.122
6,1,-99999,-99999,-99999
6,2,-99999,-99999,-99999
6,3,-99999,-99999,-99999
7,0,-185.291,350.335,19.0928
7,1,-140.87,420.917,3.17521
7,2,-93.8231,495.667,-13.7034
7,3,-49.6045,565.917,-29.5908
8,0,-99999,-99999,-99999
8,1,-99999,-99999,-99999
8,2,-99999,-99999,-99999
8,3,-99999,-99999,-99999
9,0,-235.144,350.936,-52.8294
9,1,-157.893,420.295,-22.0265
9,2,-73.7953,495.808,11.5159
9,3,4.14655,565.808,42.6061
10,0,-99999,-99999,-99999
10,1,-99999,-99999,-99999
10,2,-99999,-99999,-99999
10,3,-99999,-99999,-99999
11,0,-99999,-99999,-99999
11,1,-99999,-99999,-99999
11,2,-99999,-99999,-99999
11,3,-99999,-99999,-99999
12,0,-99999,-99999,-99999
12,1,-99999,-99999,-99999
12,2,-99999,-99999,-99999
12,3,-221.137,564.075,-249.937
13,0,-99999,-99999,-99999
13,1,-99999,-99999,-99999
13,2,-99999,-99999,-99999
13,3,-99999,-99999,-99999
14,0,-165.697,350.79,146.855
14,1,-121.541,420.302,202.57
14,2,-99999,-99999,-99999
14,3,-99999,-99999,-99999
15,0,-99999,-99999,-99999
15,1,-99999,-99999,-99999
15,2,-99999,-99999,-99999
15,3,-99999,-99999,-99999
16,0,18.3262,350.917,-189.476
16,1,-11.2631,420.834,-152.669
16,2,-42.9065,495.834,-113.483
16,3,-72.4323,565.834,-76.8719
17,0,-99999,-99999,-99999
17,1,-99999,-99999,-99999
17,2,-99999,-99999,-99999
17,3,-99999,-99999,-99999
18,0,-99999,-99999,-99999
18,1,-99999,-99999,-99999
18,2,-241.789,495.914,-150.11
18,3,-220.982,565.914,-115.151
19,0,-99999,-99999,-99999
19,1,-99999,-99999,-99999
19,2,-99999,-99999,-99999
19,3,-99999,-99999,-99999
20,0,-26.0791,344.321,249.99
20,1,-99999,-99999,-99999
20,2,-99999,-99999,-99999
20,3,-99999,-99999,-99999
21,0,-213.415,350.812,-11.717
21,1,-233.293,420.53,-27.1605
21,2,-99999,-99999,-99999
21,3,-99999,-99999,-99999
22,0,-106.976,350.613,71.0224
22,1,-100.695,420.903,88.4362
22,2,-94.0414,495.807,107.15
22,3,-87.9316,565.613,124.588
23,0,-99999,-99999,-99999
23,1,-99999,-99999,-99999
23,2,-99999,-99999,-99999
23,3,-99999,-99999,-99999
24,0,58.1229,350.79,-121.545
24,1,105.666,420.791,-68.0466
24,2,157.215,495.652,-10.5686
24,3,205.461,565.791,43.3959
25,0,105.361,350.623,-132.127
25,1,44.7744,420.698,-127.459
25,2,-20.2551,495.924,-122.43
25,3,-80.4732,565.773,-117.898
26,0,-179.168,350.713,231.696
26,1,-99999,-99999,-99999
26,2,-99999,-99999,-99999
26,3,-99999,-99999,-99999
27,0,-99999,-99999,-99999
27,1,142.359,420.611,241.527
27,2,138.01,495.903,224.355
27,3,134.017,565.513,208.464
28,0,-99999,-99999,-99999
28,1,-99999,-99999,-99999
28,2,-99999,-99999,-99999
28,3,-99999,-99999,-99999
29,0,-99999,-99999,-99999
29,1,-99999,-99999,-99999
29,2,-99999,-99999,-99999
29,3,-99999,-99999,-99999
30,0,-99999,-99999,-99999
30,1,-99999,-99999,-99999
30,2,-99999,-99999,-99999
30,3,-99999,-99999,-99999
31,0,-31.2328,350.623,-201.879
31,1,-41.7485,420.812,-179.222
31,2,-52.9577,495.717,-155.04
31,3,-63.2822,564.869,-132.755
32,0,-99999,-99999,-99999
32,1,-99999,-99999,-99999
32,2,-99999,-99999,-99999
32,3,183.742,565.923,233.022
33,0,-99999,-99999,-99999
33,1,243.717,420.711,-240.059
33,2,245.004,495.519,-218.978
33,3,246.203,565.808,-199.162
34,0,-99999,-99999,-99999
34,1,-99999,-99999,-99999
34,2,-99999,-99999,-99999
34,3,-99999,-99999,-99999
35,0,-99999,-99999,-99999
35,1,-99999,-99999,-99999
35,2,-99999,-99999,-99999
35,3,-99999,-99999,-99999
36,0,-99999,-99999,-99999
36,1,-99999,-99999,-99999
36,2,-99999,-99999,-99999
36,3,-99999,-99999,-99999
37,0,-99999,-99999,-99999
37,1,-99999,-99999,-99999
37,2,-99999,-99999,-99999
37,3,-99999,-99999,-99999
38,0,-99999,-99999,-99999
38,1,-99999,-99999,-99999
38,2,-99999,-99999,-99999
38,3,-99999,-99999,-99999
39,0,154.91,350.557,197.316
39,1,130.505,420.911,169.926
39,2,104.751,495.113,141.034
39,3,80.7177,564.493,113.931
40,0,-17.2667,350.937,-156.208
40,1,68.0304,420.307,-149.609
40,2,161.018,495.937,-142.44
40,3,246.95,565.874,-135.827
41,0,-99999,-99999,-99999
41,1,51.6677,414.54,-249.907
41,2,-99999,-99999,-99999
41,3,-99999,-99999,-99999
42,0,-99999,-99999,-99999
42,1,-99999,-99999,-99999
42,2,-99999,-99999,-99999
42,3,-99999,-99999,-99999
43,0,-99999,-99999,-99999
43,1,-99999,-99999,-99999
43,2,-99999,-99999,-99999
43,3,-99999,-99999,-99999
44,0,-99999,-99999,-99999
44,1,-99999,-99999,-99999
44,2,-99999,-99999,-99999
44,3,-99999,-99999,-99999
45,0,-99999,-99999,-99999
45,1,-99999,-99999,-99999
45,2,-99999,-99999,-99999
45,3,-99999,-99999,-99999
46,0,-74.4826,350.459,-35.8858
46,1,-83.6583,420.767,-92.5281
46,2,-92.689,495.689,-152.761
46,3,-101.197,565.845,-208.919
47,0,-46.3306,350.538,134.31
47,1,-100.714,420.67,192.582
47,2,-154.323,489.767,249.945
47,3,-99999,-99999,-99999
48,0,-34.4965,350.773,236.376
48,1,-99999,-99999,-99999
48,2,-99999,-99999,-99999
48,3,-99999,-99999,-99999
49,0,-99999,-99999,-99999
49,1,-99999,-99999,-99999
49,2,-99999,-99999,-99999
49,3,-99999,-99999,-99999
50,0,-171.414,350.803,-204.12
50,1,-173.724,420.902,-216.463
50,2,-176.175,495.803,-229.625
50,3,-178.488,565.705,-241.915
